id,name,set,country,round,type
412,NUT NGR5 FQ,NUT,NG,5,FQ
413,NUT NGR5 SQ,NUT,NG,5,SQ
414,NUT NGR6 HQ,NUT,NG,6,HQ
415,NUT NGR6 FQ,NUT,NG,6,FQ
416,NUT NGR6 SQ,NUT,NG,6,SQ
417,NUT NGR7 HQ,NUT,NG,7,HQ
418,NUT NGR7 FQ,NUT,NG,7,FQ
419,NUT NGR7 SQ,NUT,NG,7,SQ
420,NUT NER1 HQ,NUT,NE,1,HQ
421,NUT NER1 FQ,NUT,NE,1,FQ
422,NUT NER1 SQ,NUT,NE,1,SQ
423,NUT NER2 HQ,NUT,NE,2,HQ
424,NUT NER2 FQ,NUT,NE,2,FQ
425,NUT NER2 SQ,NUT,NE,2,SQ
426,NUT NER3 HQ,NUT,NE,3,HQ
427,NUT NER3 FQ,NUT,NE,3,FQ
428,NUT NER3 SQ,NUT,NE,3,SQ
429,NUT NER4 HQ,NUT,NE,4,HQ
430,NUT NER4 FQ,NUT,NE,4,FQ
431,NUT NER4 SQ,NUT,NE,4,SQ
432,NUT NER5 HQ,NUT,NE,5,HQ
433,NUT NER5 FQ,NUT,NE,5,FQ
434,NUT NER5 SQ,NUT,NE,5,SQ
435,NUT NER6 HQ,NUT,NE,6,HQ
436,NUT NER6 FQ,NUT,NE,6,FQ
437,NUT NER6 SQ,NUT,NE,6,SQ
438,NUT NER7 HQ,NUT,NE,7,HQ
439,NUT NER7 FQ,NUT,NE,7,FQ
440,NUT NER7 SQ,NUT,NE,7,SQ
441,NUT UGR1 HQ,NUT,UG,1,HQ
442,NUT UGR1 FQ,NUT,UG,1,FQ
443,NUT UGR1 SQ,NUT,UG,1,SQ
444,NUT UGR2 HQ,NUT,UG,2,HQ
445,NUT UGR2 FQ,NUT,UG,2,FQ
446,NUT UGR2 SQ,NUT,UG,2,SQ
447,NUT UGR3 HQ,NUT,UG,3,HQ
448,NUT UGR3 FQ,NUT,UG,3,FQ
449,NUT UGR3 SQ,NUT,UG,3,SQ
450,NUT UGR4 HQ,NUT,UG,4,HQ
451,NUT UGR4 FQ,NUT,UG,4,FQ
452,NUT UGR4 SQ,NUT,UG,4,SQ
453,NUT UGR5 HQ,NUT,UG,5,HQ
454,NUT UGR5 FQ,NUT,UG,5,FQ
455,NUT UGR5 SQ,NUT,UG,5,SQ
456,NUT UGR6 HQ,NUT,UG,6,HQ
457,NUT UGR6 FQ,NUT,UG,6,FQ
458,NUT UGR6 SQ,NUT,UG,6,SQ
459,NUT UGR7 HQ,NUT,UG,7,HQ
460,NUT UGR7 FQ,NUT,UG,7,FQ
461,NUT UGR7 SQ,NUT,UG,7,SQ
462,MHM BFR1 HQ,MHM,BF,1,HQ
463,MHM BFR1 FQ,MHM,BF,1,FQ
464,MHM BFR1 SQ,MHM,BF,1,SQ
465,MHM BFR2 HQ,MHM,BF,2,HQ
466,MHM BFR2 FQ,MHM,BF,2,FQ
467,MHM BFR2 SQ,MHM,BF,2,SQ
468,MHM BFR3 HQ,MHM,BF,3,HQ
469,MHM BFR3 FQ,MHM,BF,3,FQ
470,MHM BFR3 SQ,MHM,BF,3,SQ
471,MHM BFR4 HQ,MHM,BF,4,HQ
472,MHM BFR4 FQ,MHM,BF,4,FQ
473,MHM BFR4 SQ,MHM,BF,4,SQ
474,MHM BFR5 HQ,MHM,BF,5,HQ
475,MHM BFR5 FQ,MHM,BF,5,FQ
476,MHM BFR5 SQ,MHM,BF,5,SQ
477,MHM BFR6 HQ,MHM,BF,6,HQ
478,MHM BFR6 FQ,MHM,BF,6,FQ
479,MHM BFR6 SQ,MHM,BF,6,SQ
480,MHM BFR7 HQ,MHM,BF,7,HQ
481,MHM BFR7 FQ,MHM,BF,7,FQ
482,MHM BFR7 SQ,MHM,BF,7,SQ
483,MHM CIR1 HQ,MHM,CI,1,HQ
484,MHM CIR1 FQ,MHM,CI,1,FQ
485,MHM CIR1 SQ,MHM,CI,1,SQ
486,MHM CIR2 HQ,MHM,CI,2,HQ
487,MHM CIR2 FQ,MHM,CI,2,FQ
488,MHM CIR2 SQ,MHM,CI,2,SQ
